year,CO2 (tons),Pop,MT CO2,Million people
2016,35753305000,7464022049,35753,7464
2015,35631078000,7379797139,35631,7380
2014,35686780000,7295290765,35687,7295
2013,35416599000,7210581976,35417,7211
2012,34790564000,7125828059,34791,7126
2011,34578390000,7041194301,34578,7041
2010,33587787000,6956823603,33588,6957
2009,31770516000,6872767093,31771,6873
2008,32124428000,6789088686,32124,6789
2007,31916504000,6705946610,31917,6706
2006,30756174000,6623517833,30756,6624
2005,29769008000,6541907027,29769,6542
2004,28729309000,6461159389,28729,6461
2003,27513926000,6381185114,27514,6381
2002,26350081000,6301773188,26350,6302
2001,25877903000,6222626606,25878,6223
2000,25593733000,6143493823,25594,6143
1999,24733708000,6064239055,24734,6064
1998,24541647000,5984793942,24542,5985
1997,24398282000,5905045788,24398,5905
1996,24075938000,5824891951,24076,5825
1995,23619144000,5744212979,23619,5744
1994,22898963000,5663150427,22899,5663
1993,22664346000,5581597546,22664,5582
1992,22488598000,5498919809,22489,5499
1991,22591041000,5414289444,22591,5414
1990,22450442000,5327231061,22450,5327
1989,22341747000,5237441558,22342,5237
1988,21945689000,5145426008,21946,5145
1987,21195418000,5052522147,21195,5053
1986,20530265000,4960567912,20530,4961
1985,20176693000,4870921740,20177,4871
1984,19904653000,4784011621,19905,4784
1983,19301703000,4699569304,19302,4700
1982,19184207000,4617386542,19184,4617
1981,19439731000,4536996762,19440,4537
1980,19803842000,4458003514,19804,4458
1979,20031918000,4380506100,20032,4381
1978,19477371000,4304533501,19477,4305
1977,18874320000,4229506060,18874,4230
1976,18329016000,4154666864,18329,4155
1975,17346512000,4079480606,17347,4079
1974,17396363000,4003794172,17396,4004
1973,17441791000,3927780238,17442,3928
1972,16464900000,3851650245,16465,3852
1971,15679743000,3775759617,15680,3776
