Timestamp,Rainfall (mm),station_number,station_name,station_no,latitude,longitude,biomass,coal,imports,gas,nuclear,other,hydro,solar,wind
01-Jun-18,0,577951,Carmyllie-Hume Farm,577951,56.57464969,-2.741331877,1.27965587,0,1.98562753,18.66842105,41.32864372,0,7.054757085,1.576315789,28.10657895
01-Jun-18,0,564863,Tomatin No2,564863,57.33816398,-4.013360208,1.27965587,0,1.98562753,18.66842105,41.32864372,0,7.054757085,1.576315789,28.10657895
01-Jun-18,0,15208,Dunglass,15208,55.94267446,-2.382881362,1.27965587,0,1.98562753,18.66842105,41.32864372,0,7.054757085,1.576315789,28.10657895
01-Jun-18,37,15018,Abbey St Bathans,15018,55.85329633,-2.387448356,1.27965587,0,1.98562753,18.66842105,41.32864372,0,7.054757085,1.576315789,28.10657895
01-Jun-18,27.8,234150,Aberlour,234150,57.48021805,-3.205975095,1.27965587,0,1.98562753,18.66842105,41.32864372,0,7.054757085,1.576315789,28.10657895
01-Jun-18,100,115301,Affric Lodge,115301,57.26272622,-5.005979754,1.27965587,0,1.98562753,18.66842105,41.32864372,0,7.054757085,1.576315789,28.10657895
01-Jun-18,28.6,234170,Alford,234170,57.24230294,-2.717123004,1.27965587,0,1.98562753,18.66842105,41.32864372,0,7.054757085,1.576315789,28.10657895
01-Jun-18,16.2,115302,Allanfearn,115302,57.49914747,-4.151564133,1.27965587,0,1.98562753,18.66842105,41.32864372,0,7.054757085,1.576315789,28.10657895
01-Jun-18,63.6,234151,Allnabad,234151,58.34717676,-4.644621014,1.27965587,0,1.98562753,18.66842105,41.32864372,0,7.054757085,1.576315789,28.10657895
01-Jun-18,194,115304,Allt Dearg House,115304,57.28490502,-6.187008123,1.27965587,0,1.98562753,18.66842105,41.32864372,0,7.054757085,1.576315789,28.10657895
01-Jun-18,66.6,115500,Amlaird,115500,55.66964373,-4.413260863,1.27965587,0,1.98562753,18.66842105,41.32864372,0,7.054757085,1.576315789,28.10657895
01-Jun-18,69,115501,Amod Farm,115501,55.35009103,-5.717857841,1.27965587,0,1.98562753,18.66842105,41.32864372,0,7.054757085,1.576315789,28.10657895
01-Jun-18,38.6,15198,Annfield,15198,56.06640057,-3.371633207,1.27965587,0,1.98562753,18.66842105,41.32864372,0,7.054757085,1.576315789,28.10657895
01-Jun-18,39,115506,Ashgrove,115506,55.66308049,-4.757486092,1.27965587,0,1.98562753,18.66842105,41.32864372,0,7.054757085,1.576315789,28.10657895
01-Jun-18,29.6,491811,Auchdergannach,491811,57.22063972,-3.651932222,1.27965587,0,1.98562753,18.66842105,41.32864372,0,7.054757085,1.576315789,28.10657895
01-Jun-18,68.2,15163,Auchentroig,15163,56.11221933,-4.342412217,1.27965587,0,1.98562753,18.66842105,41.32864372,0,7.054757085,1.576315789,28.10657895
01-Jun-18,97.2,14964,Auchinner,14964,56.31678388,-4.112254665,1.27965587,0,1.98562753,18.66842105,41.32864372,0,7.054757085,1.576315789,28.10657895
01-Jun-18,93,14952,Auchnafree,14952,56.47302976,-3.904678161,1.27965587,0,1.98562753,18.66842105,41.32864372,0,7.054757085,1.576315789,28.10657895
01-Jun-18,26,234161,Avochie,234161,57.50564634,-2.782377895,1.27965587,0,1.98562753,18.66842105,41.32864372,0,7.054757085,1.576315789,28.10657895
01-Jun-18,76,322556,Avonbank,322556,55.66347112,-4.051617294,1.27965587,0,1.98562753,18.66842105,41.32864372,0,7.054757085,1.576315789,28.10657895
01-Jun-18,26.8,15132,Ayton Castle,15132,55.84727645,-2.114611023,1.27965587,0,1.98562753,18.66842105,41.32864372,0,7.054757085,1.576315789,28.10657895
01-Jun-18,65.8,518147,Badbea,518147,57.86243941,-5.318746664,1.27965587,0,1.98562753,18.66842105,41.32864372,0,7.054757085,1.576315789,28.10657895
01-Jun-18,79.9,15103,Baddinsgill Reservoir,15103,55.7838821,-3.394584951,1.27965587,0,1.98562753,18.66842105,41.32864372,0,7.054757085,1.576315789,28.10657895
01-Jun-18,48,501947,Baintown Rain-gauge,501947,56.22101614,-3.042679056,1.27965587,0,1.98562753,18.66842105,41.32864372,0,7.054757085,1.576315789,28.10657895
01-Jun-18,53.2,517412,Balfron STW,517412,56.06523441,-4.333343318,1.27965587,0,1.98562753,18.66842105,41.32864372,0,7.054757085,1.576315789,28.10657895
01-Jun-18,70.2,490985,Balgray RG,490985,55.73428872,-4.5878755,1.27965587,0,1.98562753,18.66842105,41.32864372,0,7.054757085,1.576315789,28.10657895
01-Jun-18,29,115202,Balmedie STW,115202,57.25007263,-2.0473803,1.27965587,0,1.98562753,18.66842105,41.32864372,0,7.054757085,1.576315789,28.10657895
01-Jun-18,34,374852,Baluniefield,374852,56.48264025,-2.905576117,1.27965587,0,1.98562753,18.66842105,41.32864372,0,7.054757085,1.576315789,28.10657895
01-Jun-18,63,14897,Bannockburn,14897,56.09528478,-3.911816854,1.27965587,0,1.98562753,18.66842105,41.32864372,0,7.054757085,1.576315789,28.10657895
01-Jun-18,100.2,327235,Beltmoss,327235,55.98678855,-4.056528766,1.27965587,0,1.98562753,18.66842105,41.32864372,0,7.054757085,1.576315789,28.10657895
01-Jun-18,82.2,368536,Biggar Burn,368536,55.65035093,-3.543765278,1.27965587,0,1.98562753,18.66842105,41.32864372,0,7.054757085,1.576315789,28.10657895
01-Jun-18,35.4,320371,Birkie Hue,320371,58.16554218,-6.740713858,1.27965587,0,1.98562753,18.66842105,41.32864372,0,7.054757085,1.576315789,28.10657895
01-Jun-18,62.4,115516,Blackdyke Farm,115516,55.52935031,-4.326283061,1.27965587,0,1.98562753,18.66842105,41.32864372,0,7.054757085,1.576315789,28.10657895
01-Jun-18,27.8,115203,Blackhills No 2,115203,57.61017023,-3.222796593,1.27965587,0,1.98562753,18.66842105,41.32864372,0,7.054757085,1.576315789,28.10657895
01-Jun-18,93,533744,Boleside,533744,55.59164323,-2.798878774,1.27965587,0,1.98562753,18.66842105,41.32864372,0,7.054757085,1.576315789,28.10657895
01-Jun-18,77,115518,Boreland,115518,55.20254702,-3.320073284,1.27965587,0,1.98562753,18.66842105,41.32864372,0,7.054757085,1.576315789,28.10657895
01-Jun-18,56.2,101227,Bow Burn - WQMS,101227,55.44068058,-4.498633861,1.27965587,0,1.98562753,18.66842105,41.32864372,0,7.054757085,1.576315789,28.10657895
01-Jun-18,92.4,15161,Braco (Dunduff),15161,56.28192154,-3.904225732,1.27965587,0,1.98562753,18.66842105,41.32864372,0,7.054757085,1.576315789,28.10657895
01-Jun-18,92.4,115315,Braeroy Lodge,115315,56.98511362,-4.738585589,1.27965587,0,1.98562753,18.66842105,41.32864372,0,7.054757085,1.576315789,28.10657895
01-Jun-18,80.6,133144,Braidlie,133144,55.26142915,-2.824951121,1.27965587,0,1.98562753,18.66842105,41.32864372,0,7.054757085,1.576315789,28.10657895
01-Jun-18,63,115521,Brigton,115521,55.03779638,-4.566314357,1.27965587,0,1.98562753,18.66842105,41.32864372,0,7.054757085,1.576315789,28.10657895
01-Jun-18,92.8,335609,Broadside,335609,56.02806207,-3.978158502,1.27965587,0,1.98562753,18.66842105,41.32864372,0,7.054757085,1.576315789,28.10657895
01-Jun-18,121.2,14987,Brockhoperig,14987,55.4061286,-3.211513384,1.27965587,0,1.98562753,18.66842105,41.32864372,0,7.054757085,1.576315789,28.10657895
01-Jun-18,79.8,115523,Burnfoot (Hawknest),115523,55.66513433,-3.895712474,1.27965587,0,1.98562753,18.66842105,41.32864372,0,7.054757085,1.576315789,28.10657895
01-Jun-18,69.6,335612,Bush,335612,55.86190844,-3.206554074,1.27965587,0,1.98562753,18.66842105,41.32864372,0,7.054757085,1.576315789,28.10657895
01-Jun-18,61.4,234176,Cabrach,234176,57.34816,-3.034565786,1.27965587,0,1.98562753,18.66842105,41.32864372,0,7.054757085,1.576315789,28.10657895
01-Jun-18,72.6,523676,Cairngorm Raingauge and Snow Scale,523676,57.127702,-3.662955858,1.27965587,0,1.98562753,18.66842105,41.32864372,0,7.054757085,1.576315789,28.10657895
01-Jun-18,82.2,115526,Caldercruix STW,115526,55.88933558,-3.904553259,1.27965587,0,1.98562753,18.66842105,41.32864372,0,7.054757085,1.576315789,28.10657895
01-Jun-18,35,338380,Cambo Sands,338380,56.3008799,-2.650067453,1.27965587,0,1.98562753,18.66842105,41.32864372,0,7.054757085,1.576315789,28.10657895
01-Jun-18,69.8,490984,Camphill WTW Raingauge,490984,55.75032761,-4.74461262,1.27965587,0,1.98562753,18.66842105,41.32864372,0,7.054757085,1.576315789,28.10657895
01-Jun-18,76.4,306455,Canonbie Raingauge,306455,55.07786221,-2.942088127,1.27965587,0,1.98562753,18.66842105,41.32864372,0,7.054757085,1.576315789,28.10657895
01-Jun-18,70,576753,Capenoch Raingauge,576753,55.22666817,-3.816934219,1.27965587,0,1.98562753,18.66842105,41.32864372,0,7.054757085,1.576315789,28.10657895
01-Jun-18,45.8,116042,Castle Kennedy,116042,54.90675279,-4.944931414,1.27965587,0,1.98562753,18.66842105,41.32864372,0,7.054757085,1.576315789,28.10657895
01-Jun-18,31.8,234183,Charr,234183,56.94084906,-2.619402267,1.27965587,0,1.98562753,18.66842105,41.32864372,0,7.054757085,1.576315789,28.10657895
01-Jun-18,54,15004,Chesters,15004,55.37862961,-2.589607681,1.27965587,0,1.98562753,18.66842105,41.32864372,0,7.054757085,1.576315789,28.10657895
01-Jun-18,41.4,335574,Cheyne,335574,56.97482596,-2.266470239,1.27965587,0,1.98562753,18.66842105,41.32864372,0,7.054757085,1.576315789,28.10657895
